order_id,customer_id,order_status,order_purchase_timestamp,customer_state,seller_state,product_category_name_english,items_count,price_sum,freight_value_sum,payments_count,payment_value_sum,payment_type_main,payment_installments_max,same_state_flag,purchase_month,purchase_dayofweek,purchase_hour,is_weekend,delivery_time_days,is_long_delivery
9b4ca0b8323b1def628d45867d69ba54,32018577a9de50fb2ce98318e64b644f,delivered,2017-03-28 22:05:00,DF,MG,bed_bath_table,1.0,39.9,15.56,1.0,55.46,credit_card,1.0,0,3,1,22,0,11.097662037037036,0
55d76e2bc7b3498fe523bbde2656fbb5,b9b524af9d8c8ff2cf4a4a5ed792f267,delivered,2017-03-28 22:42:18,SP,MG,computers_accessories,1.0,27.9,14.52,1.0,42.42,credit_card,1.0,0,3,1,22,0,5.548923611111111,0
4ff030f2bf3f8741d3843193abca39fa,03500f262532234525663b2c3ac1ef57,delivered,2017-03-28 22:47:25,SC,SP,food,2.0,126.98,31.3,1.0,158.28,credit_card,1.0,0,3,1,22,0,13.69991898148148,0
dea4092d49f4c8bf9decabdbf029322f,0591f2f79bbfedf3ebcf8ef2b16fae63,delivered,2017-03-28 22:50:45,SP,SP,health_beauty,1.0,20.0,10.96,1.0,30.96,credit_card,1.0,1,3,1,22,0,12.697789351851853,0
c4f3b6a5e1b0cd332ac54136c94c5053,8c3ef80af590b71396ade3b7a82484f5,delivered,2017-03-28 23:10:01,SP,ES,garden_tools,1.0,139.9,16.68,1.0,156.58,credit_card,3.0,0,3,1,23,0,5.380451388888889,0
bd80efb9eb7bbd9c465bd5205d6a43b8,ced3fb170a9a5007a9bc3558d49c35b1,delivered,2017-03-28 23:13:25,AL,PR,garden_tools,1.0,43.9,24.84,1.0,68.74,boleto,1.0,0,3,1,23,0,48.67283564814815,1
aca5ef1d6df08d476703f538ba867594,ca2138bd02478a64b51c063c4bb7fd8c,delivered,2017-03-28 23:49:12,SP,MG,toys,1.0,739.9,19.35,1.0,759.25,credit_card,3.0,0,3,1,23,0,9.721539351851852,0
18ed62e249d4b637b186e91f0374a476,4d93cf82ad543d0d134458186931e611,delivered,2017-03-28 23:49:15,SP,SP,bed_bath_table,1.0,49.9,10.96,2.0,60.86,credit_card,1.0,1,3,1,23,0,2.5964930555555554,0
eadb5d6bcbc31439d1d6706a39dba007,a0dfdd6ee456f770e2055649347bab2a,delivered,2017-03-29 00:42:28,PA,PB,telephony,1.0,67.9,20.93,1.0,88.83,credit_card,8.0,0,3,2,0,0,19.33394675925926,1
ffe49171e120186dcc4c444b55691810,9be83b1a15980ed71eadb4dff917fa29,delivered,2017-03-29 02:00:08,SP,SP,perfumery,1.0,68.0,8.85,1.0,76.85,credit_card,7.0,1,3,2,2,0,8.44087962962963,0
845f4b93a5d0c16feb325ed52d31799b,66b12893cb142f674e7af2e91f9ee2d7,delivered,2017-03-29 02:52:55,BA,SP,bed_bath_table,1.0,239.9,22.13,1.0,262.03,credit_card,15.0,0,3,2,2,0,13.43761574074074,0
