order_id,customer_id,order_status,order_purchase_timestamp,customer_state,seller_state,product_category_name_english,items_count,price_sum,freight_value_sum,payments_count,payment_value_sum,payment_type_main,payment_installments_max,same_state_flag,purchase_month,purchase_dayofweek,purchase_hour,is_weekend,delivery_time_days,is_long_delivery
bfbd0f9bdef84302105ad712db648a6c,86dc2ffce2dfff336de2f386a786e574,delivered,2016-09-15 12:16:38,SP,PR,health_beauty,3.0,134.97,8.49,1.0,104.3,unknown,1.0,0,9,3,12,0,54.81319444444444,1
3b697a20d9e427646d92567910af6d57,355077684019f7f60a031656bd7262b8,delivered,2016-10-03 09:44:50,SP,PR,watches_gifts,1.0,29.9,15.56,1.0,45.46,boleto,1.0,0,10,0,9,0,23.178738425925925,1
be5bc2f0da14d8071e2d45451ad119d9,7ec40b22510fdbea1b08921dd39e63d8,delivered,2016-10-03 16:56:50,RS,SP,sports_leisure,1.0,21.9,17.19,1.0,39.09,boleto,1.0,0,10,0,16,0,24.0575,1
65d1e226dfaeb8cdc42f665422522d14,70fc57eeae292675927697fe03ad3ff5,canceled,2016-10-03 21:01:41,RJ,SP,sports_leisure,1.0,21.5,14.11,1.0,35.61,credit_card,1.0,0,10,0,21,0,35.58116898148148,1
a41c8759fbe7aab36ea07e038b2d4465,6f989332712d3222b6571b1cf5b835ce,delivered,2016-10-03 21:13:36,RS,SP,sports_leisure,1.0,36.49,17.24,1.0,53.73,boleto,1.0,0,10,0,21,0,30.57258101851852,1
d207cc272675637bfed0062edffd0818,b8cf418e97ae795672d326288dfab7a7,delivered,2016-10-03 22:06:03,SP,SP,furniture_decor,1.0,119.9,13.56,1.0,133.46,credit_card,6.0,1,10,0,22,0,27.5428125,1
cd3b8574c82b42fc8129f6d502690c3e,7812fcebfc5e8065d31e1bb5f0017dae,delivered,2016-10-03 22:31:31,SP,SP,fashion_shoes,1.0,29.99,10.96,1.0,40.95,credit_card,4.0,1,10,0,22,0,10.73366898148148,0
ae8a60e4b03c5a4ba9ca0672c164b181,e6f959bf384d1d53b6d68826699bba12,delivered,2016-10-03 22:44:10,GO,SP,toys,1.0,128.9,25.67,1.0,154.57,credit_card,2.0,0,10,0,22,0,30.639351851851853,1
ef1b29b591d31d57c0d7337460dd83c9,dc607dc98d6a11d5d04d9f2a70aa6c34,delivered,2016-10-03 22:51:30,MG,SP,furniture_decor,1.0,74.9,17.37,1.0,92.27,credit_card,3.0,0,10,0,22,0,28.6828125,1
0a0837a5eee9e7a9ce2b1fa831944d27,4f3f778022aefa22b9f9e52d2c47edf3,delivered,2016-10-04 09:06:10,SP,SP,unknown,1.0,49.99,15.51,1.0,65.5,debit_card,1.0,1,10,1,9,0,18.239675925925926,1
1ff217aa612f6cd7c4255c9bfe931c8b,b3a9bf200375f53cc5c6991919c356fd,delivered,2016-10-04 09:16:33,SP,SP,consoles_games,1.0,32.49,11.74,1.0,44.23,credit_card,2.0,1,10,1,9,0,20.30361111111111,1
